target_pkg,object_name,index,foreign_pkg,foreign_object,foreign_src_file,foreign_src_line_start,foreign_src_line_end,call_text
ggplot2,facet_wrap,7,lime,plot_image_explanation,NA,NA,NA,"facet_wrap(~label + probability + `Explanation fit`, labeller = label_both_upper)"
ggplot2,facet_wrap,7,lime,plot_explanations,NA,NA,NA,"facet_wrap(~label, ...)"
ggplot2,facet_wrap,7,lime,plot_features,NA,NA,NA,"facet_wrap(~case + label + probability + `Explanation fit`, labeller = label_both_upper, 
    scales = ""free_y"", ncol = ncol)"
ggplot2,facet_wrap,7,lime,plot_features,NA,NA,NA,"facet_wrap(~case + prediction + `Explanation fit`, labeller = label_both_upper, 
    scales = ""free_y"", ncol = ncol)"
ggplot2,aes_q,10,lime,plot_superpixels,NA,NA,NA,"aes_(~x, ~y, fill = ~colour)"
ggplot2,aes_q,10,lime,plot_image_explanation,NA,NA,NA,"aes_(~x, ~y, fill = ~colour)"
ggplot2,aes_q,10,lime,plot_explanations,NA,NA,NA,"aes_(~case, ~feature_desc)"
ggplot2,aes_q,10,lime,plot_explanations,NA,NA,NA,aes_(fill = ~feature_weight)
ggplot2,aes_q,10,lime,plot_features,NA,NA,NA,"aes_(~description, ~feature_weight, fill = ~type)"
ggplot2,coord_fixed,70,lime,plot_superpixels,NA,NA,NA,coord_fixed(expand = FALSE)
ggplot2,coord_fixed,70,lime,plot_image_explanation,NA,NA,NA,coord_fixed(expand = FALSE)
ggplot2,geom_tile,115,lime,plot_explanations,NA,NA,NA,geom_tile(aes_(fill = ~feature_weight))
ggplot2,element_blank,162,lime,theme_lime,NA,NA,NA,element_blank()
ggplot2,element_blank,162,lime,theme_lime,NA,NA,NA,element_blank()
ggplot2,element_blank,162,lime,theme_lime,NA,NA,NA,element_blank()
ggplot2,element_blank,162,lime,theme_lime,NA,NA,NA,element_blank()
ggplot2,element_blank,162,lime,theme_lime,NA,NA,NA,element_blank()
ggplot2,element_blank,162,lime,plot_image_explanation,NA,NA,NA,element_blank()
ggplot2,element_blank,162,lime,plot_image_explanation,NA,NA,NA,element_blank()
ggplot2,element_blank,162,lime,plot_image_explanation,NA,NA,NA,element_blank()
