target_pkg,object_name,index,object_class,src_file,src_line_start,src_line_end
ggplot2,theta_rescale_no_clip,1,function,R/coord-polar.r,338,341
ggplot2,indent,2,function,R/ggproto.r,310,316
ggplot2,fortify.cld,3,function,R/fortify-multcomp.r,79,85
ggplot2,predictdf.glm,4,function,R/stat-smooth-methods.r,26,42
ggplot2,standardise_aes_names,5,function,R/aes.r,153,159
ggplot2,find_panel,6,function,R/facet-.r,494,504
ggplot2,facet_wrap,7,function,R/facet-wrap.r,83,128
ggplot2,geom_label,8,function,R/geom-label.R,6,43
ggplot2,StatSmooth,9,StatSmooth / Stat / ggproto / gg,NA,NA,NA
ggplot2,aes_q,10,function,R/aes.r,234,253
ggplot2,label_variable,11,function,R/labeller.r,110,117
ggplot2,labeller,12,function,R/labeller.r,424,474
ggplot2,calc_logticks,13,function,R/annotation-logticks.r,212,244
ggplot2,ggplot_add,14,function,R/plot-construction.r,86,88
ggplot2,element_grob.element_text,15,function,R/theme-elements.r,194,219
ggplot2,StatSummary2d,16,StatSummary2d / Stat / ggproto / gg,NA,NA,NA
ggplot2,GeomMap,17,GeomMap / GeomPolygon / Geom / ggproto / gg,NA,NA,NA
ggplot2,$.ggproto_parent,18,function,R/ggproto.r,161,168
ggplot2,scale_color_manual,19,function,R/scale-manual.r,63,65
ggplot2,parse_safe,20,function,R/utilities.r,469,477
ggplot2,draw_key_crossbar,21,function,R/legend-draw.r,115,126
ggplot2,theme_light,22,function,R/theme-defaults.r,310,349
ggplot2,merge_element,23,function,R/theme.r,589,591
ggplot2,scale_range,24,function,R/coord-cartesian-.r,119,128
ggplot2,scales_map_df,25,function,R/scales-.r,72,78
ggplot2,cunion,26,function,R/utilities-matrix.r,7,12
ggplot2,bin_breaks,27,function,R/bin.R,47,49
ggplot2,PositionFill,28,PositionFill / PositionStack / Position / ggproto / gg,NA,NA,NA
ggplot2,[<-.uneval,29,function,R/aes.r,140,142
ggplot2,guide_gengrob.legend,30,function,R/guide-legend.r,301,717
ggplot2,compute_grob_widths,31,function,R/utilities-table.r,1,4
ggplot2,GeomDotplot,32,GeomDotplot / Geom / ggproto / gg,NA,NA,NA
ggplot2,df.grid,33,function,R/facet-.r,251,263
ggplot2,AxisSecondary,34,AxisSecondary / ggproto / gg,NA,NA,NA
ggplot2,scale_alpha_identity,35,function,R/scale-identity.r,100,105
ggplot2,GeomBar,36,GeomBar / GeomRect / Geom / ggproto / gg,NA,NA,NA
ggplot2,geom_polygon,37,function,R/geom-polygon.r,81,102
ggplot2,autoplot,38,function,R/autoplot.r,12,14
ggplot2,ggplot_add.list,39,function,R/plot-construction.r,148,153
ggplot2,cut_interval,40,function,R/utilities-break.r,24,26
ggplot2,element_grob.element_line,41,function,R/theme-elements.r,224,248
ggplot2,grobWidth.absoluteGrob,42,function,R/grob-absolute.r,26,28
ggplot2,scale_colour_viridis_c,43,function,R/scale-viridis.r,77,93
ggplot2,scale_type.logical,44,function,R/scale-type.R,75,75
ggplot2,scale_color_gradient,45,function,R/scale-gradient.r,57,61
ggplot2,scale_colour_viridis_d,46,function,R/scale-viridis.r,53,61
ggplot2,layer_grob,47,function,R/plot-build.r,136,140
ggplot2,grobX.absoluteGrob,48,function,R/grob-absolute.r,32,35
ggplot2,default_aesthetics,49,function,R/geom-sf.R,123,131
ggplot2,count,50,function,R/compat-plyr.R,144,157
ggplot2,scale_apply,51,function,R/layout.R,269,289
ggplot2,camelize,52,function,R/utilities.r,324,328
